MWRT,NOT,LEN,BTZ,LBH
"368.30284,12.536",16039925.96,0,0,50758879.7
"448.29244,12.547",26847503.41,0,0,36715384.07
"156.07836,12.567",123179846.6,0,0,180247208.1
"258.14595,12.589",131120793.2,0,0,18758811.07
"236.15224,12.604",129527273.3,0,0,130833149.1
"416.06337,12.629",24386515.19,0,0,29541385.01
"306.17924,12.636",22166602.57,0,0,16427264.81
"477.25588,12.641",61834393.75,0,0,2401681679
"388.17204,12.654",441936007.1,0,0,669714807.1
"415.08104,12.663",27007273.07,0,0,25032658.66
"627.22261,12.664",18758638.05,0,0,13283626.33
"140.08278,12.665",30658777.56,0,0,99317208.64
"258.14684,12.668",3972814686,0,0,1307325475
"156.0785,12.685",149866857.3,0,0,103393815.2
"195.04477,12.736",75804639.72,0,0,73597743.1
"412.32894,12.753",51512134.81,0,0,82754937.08
"238.12015,12.823",183168128,0,0,198166719.4
"240.13571,12.827",376202639.9,0,0,100081233.3
"299.17269,12.875",18058934.93,0,0,17376387.52
"242.05801,12.891",11037625.53,0,0,13282974.94
"190.15657,12.895",16746981.52,0,0,12870841.66
