Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,225.17238,12.116,0.079,2,1,38123746.66,F39,NOT,"225.17238,12.116",TRUE,225.17238,12.116,0.077,2,1,72668191.3,F7,BTZ,"225.17238,12.116",1.906113582
TRUE,267.14686,12.165,0.127,3,5,258866202.4,F35,NOT,"267.14686,12.165",TRUE,267.14686,12.165,0.167,2,1,138136245.1,F11,BTZ,"267.14686,12.165",0.53362024
TRUE,336.18965,12.197,0.079,2,1,27272295.48,F42,NOT,"336.18965,12.197",TRUE,336.18965,12.197,0.09,2,1,20328777.66,F11,BTZ,"336.18965,12.197",0.745400316
TRUE,154.06273,12.268,0.099,2,1,77659173.39,F39,NOT,"154.06273,12.268",TRUE,154.06273,12.268,0.099,3,1,63315205.64,F6,BTZ,"154.06273,12.268",0.8152959
TRUE,281.19847,12.269,0.083,2,1,81776980.47,F42,NOT,"281.19847,12.269",TRUE,281.19847,12.269,0.107,2,1,20099022.24,F7,BTZ,"281.19847,12.269",0.245778483
TRUE,514.36113,12.289,0.147,3,1,87191145.7,F40,NOT,"514.36113,12.289",TRUE,514.36113,12.289,0.149,3,1,69138436.18,F6,BTZ,"514.36113,12.289",0.792952491
TRUE,452.36025,12.326,0.129,3,1,145874420.1,F44,NOT,"452.36025,12.326",TRUE,452.36025,12.326,0.122,3,1,95493016.43,F12,BTZ,"452.36025,12.326",0.654624823
TRUE,422.31362,12.353,0.085,3,1,166650226.2,F40,NOT,"422.31362,12.353",TRUE,422.31362,12.353,0.106,3,1,167443308.8,F7,BTZ,"422.31362,12.353",1.004758965
TRUE,422.31334,12.356,0.088,3,1,135478533.7,F41,NOT,"422.31334,12.356",TRUE,422.31334,12.356,0.084,2,1,79189388.61,F8,BTZ,"422.31334,12.356",0.584516133
TRUE,170.05772,12.361,0.077,2,2,56272658.12,F39,NOT,"170.05772,12.361",TRUE,170.05772,12.361,0.069,2,2,44699395.35,F6,BTZ,"170.05772,12.361",0.79433595
TRUE,383.05495,12.361,0.07,3,1,20858513,F40,NOT,"383.05495,12.361",TRUE,383.05495,12.361,0.067,2,1,14492742.98,F4,BTZ,"383.05495,12.361",0.694811897
TRUE,258.11046,12.382,0.149,2,1,36811246.57,F37,NOT,"258.11046,12.382",TRUE,258.11046,12.382,0.139,2,1,107395424.7,F4,BTZ,"258.11046,12.382",2.917462317
TRUE,207.08901,12.417,0.081,2,1,41488517.15,F44,NOT,"207.08901,12.417",TRUE,207.08901,12.417,0.094,2,1,35461734.91,F11,BTZ,"207.08901,12.417",0.854736138
TRUE,268.17821,12.44,0.107,2,1,12579249.05,F35,NOT,"268.17821,12.44",TRUE,268.17821,12.44,0.123,2,1,11201225.54,F4,BTZ,"268.17821,12.44",0.890452641
TRUE,216.13586,12.449,0.077,3,3,220141916.2,F40,NOT,"216.13586,12.449",TRUE,216.13586,12.449,0.079,3,4,204434903.6,F5,BTZ,"216.13586,12.449",0.928650514
TRUE,534.15073,12.475,0.073,2,1,15778446.81,F43,NOT,"534.15073,12.475",TRUE,534.15073,12.475,0.07,2,1,29576926.92,F13,BTZ,"534.15073,12.475",1.874514474
TRUE,180.042,12.479,0.077,3,2,195799933.8,F39,NOT,"180.042,12.479",TRUE,180.042,12.479,0.078,3,2,178713050.6,F6,BTZ,"180.042,12.479",0.912732947
TRUE,453.35585,12.487,0.091,2,1,17042754.8,F39,NOT,"453.35585,12.487",TRUE,453.35585,12.487,0.079,2,1,12516275.33,F6,BTZ,"453.35585,12.487",0.734404471
